Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
connective,FBbt:00005104,3.23% (3/93),1.09% (129/11801),0.084545131,0.107,1
nervous system of embryonic/larval thorax,FBbt:00007485,2.15% (2/93),0.52% (61/11801),0.086952347,0.111,1
adult thorax,FBbt:00003018,33.33% (31/93),25.48% (3007/11801),0.094182184,0.114,1
adult external thorax,FBbt:00004551,32.26% (30/93),24.57% (2900/11801),0.09116554,0.114,1
adult thoracic segment,FBbt:00003019,33.33% (31/93),25.44% (3002/11801),0.093840576,0.114,1
spiracle,FBbt:00005054,3.23% (3/93),1.14% (134/11801),0.092067232,0.114,1
larval metathoracic segment,FBbt:00001745,2.15% (2/93),0.53% (63/11801),0.091699097,0.116,1
tarsal segment,FBbt:00004646,3.23% (3/93),1.19% (140/11801),0.101447617,0.117,1
appendage,FBbt:00007000,22.58% (21/93),15.73% (1856/11801),0.084975994,0.119,1
gastrula embryo,FBbt:00005317,4.3% (4/93),1.8% (213/11801),0.090132385,0.123,1
hypodermal muscle of A1-7,FBbt:00110299,3.23% (3/93),1.18% (139/11801),0.099858177,0.123,1
extrinsic neuron,FBbt:00003660,2.15% (2/93),0.54% (64/11801),0.094100612,0.125,1
multidendritic neuron,FBbt:00005209,5.38% (5/93),2.66% (314/11801),0.104519667,0.127,1
wing vein,FBbt:00004751,5.38% (5/93),2.72% (321/11801),0.111878895,0.127,1
sensory perception defective,FBcv:0000681,4.3% (4/93),1.86% (219/11801),0.09720917,0.129,1
adult external abdomen,FBbt:00004788,3.23% (3/93),1.23% (145/11801),0.109545915,0.132,1
supraesophageal ganglion neuron,FBbt:00001366,3.23% (3/93),1.24% (146/11801),0.111195129,0.135,1
embryonic/larval posterior spiracle,FBbt:00000424,2.15% (2/93),0.64% (76/11801),0.124219914,0.137,1
spiracular chamber,FBbt:00000426,2.15% (2/93),0.64% (75/11801),0.12162697,0.137,1
peptidergic neuron,FBbt:00004101,2.15% (2/93),0.61% (72/11801),0.113932509,0.137,1
flight defective,FBcv:0000417,7.53% (7/93),4.06% (479/11801),0.106118579,0.138,1
rhabdomere,FBbt:00004212,2.15% (2/93),0.64% (76/11801),0.124219914,0.138,1
adult metathoracic segment,FBbt:00003022,3.23% (3/93),1.26% (149/11801),0.11620016,0.139,1
gonad,FBbt:00004858,15.05% (14/93),10.09% (1191/11801),0.119420319,0.141,1
mushroom body,FBbt:00005801,3.23% (3/93),1.33% (157/11801),0.1299507,0.141,1
organism,FBbt:00000001,54.84% (51/93),46.78% (5521/11801),0.143817894,0.144,0.288
cholinergic neuron,FBbt:00007173,3.23% (3/93),1.31% (155/11801),0.126459756,0.147,1
tracheal pit,FBbt:00005036,2.15% (2/93),0.68% (80/11801),0.13472255,0.153,1
dorsal thoracic disc posterior compartment,FBbt:00008124,2.15% (2/93),0.69% (81/11801),0.137379145,0.153,1
majority die during pupal stage,FBcv:0002034,2.15% (2/93),0.69% (82/11801),0.14004742,0.155,1
chemosensory neuron,FBbt:00005922,2.15% (2/93),0.71% (84/11801),0.145417656,0.158,1
male terminalia,FBbt:00004835,2.15% (2/93),0.68% (80/11801),0.13472255,0.16,1
adult segment,FBbt:00003006,33.33% (31/93),26.21% (3093/11801),0.124640553,0.16,1
genitalia,FBbt:00004826,2.15% (2/93),0.68% (80/11801),0.13472255,0.16,1
metatarsus of male prothoracic leg,FBbt:00007020,2.15% (2/93),0.78% (92/11801),0.167300059,0.167,0.167
prothoracic metatarsus,FBbt:00004670,2.15% (2/93),0.78% (92/11801),0.167300059,0.167,0.668
increased cell number,FBcv:0000362,3.23% (3/93),1.4% (165/11801),0.144248949,0.168,1
tracheal primordium,FBbt:00005037,2.15% (2/93),0.72% (85/11801),0.148118951,0.169,1
embryonic/larval trachea,FBbt:00000211,3.23% (3/93),1.43% (169/11801),0.151587734,0.17,1
thoracic neuron,FBbt:00001983,2.15% (2/93),0.73% (86/11801),0.150830595,0.17,1
tagmatic subdivision of integument,FBbt:00007289,32.26% (30/93),25.35% (2991/11801),0.150320646,0.17,1
adult integumentary system,FBbt:00005396,32.26% (30/93),25.44% (3002/11801),0.150993574,0.171,1
early extended germ band embryo,FBbt:00014201,3.23% (3/93),1.45% (171/11801),0.155301786,0.171,1
region of integument,FBbt:00007284,32.26% (30/93),25.72% (3035/11801),0.154031278,0.171,1
cell number defective,FBcv:0000709,10.75% (10/93),6.65% (785/11801),0.138377883,0.172,1
wing margin,FBbt:00005378,4.3% (4/93),2.25% (266/11801),0.160827724,0.172,1
olfactory system neuron,FBbt:00007697,2.15% (2/93),0.8% (94/11801),0.172858575,0.185,1
prothoracic tarsal segment,FBbt:00004668,2.15% (2/93),0.84% (99/11801),0.186883015,0.192,1
metatarsus,FBbt:00004648,2.15% (2/93),0.86% (102/11801),0.195374509,0.195,1
organ system,FBbt:00004856,52.69% (49/93),44.67% (5271/11801),0.142389556,0.195,1
embryonic abdomen,FBbt:00000171,2.15% (2/93),0.82% (97/11801),0.181252675,0.197,1
tract,FBbt:00005100,3.23% (3/93),1.6% (189/11801),0.18992721,0.198,1
lethal - all die during P-stage,FBcv:0002005,2.15% (2/93),0.89% (105/11801),0.203914918,0.208,1
reproductive system,FBbt:00004857,15.05% (14/93),10.57% (1247/11801),0.173588677,0.209,1
presumptive embryonic/larval tracheal system,FBbt:00005569,2.15% (2/93),0.86% (102/11801),0.195374509,0.212,1
stigmatophore,FBbt:00000425,2.15% (2/93),0.85% (100/11801),0.189707647,0.215,1
tract neuropil,FBbt:00040004,3.23% (3/93),1.62% (191/11801),0.193893504,0.218,1
some die during pupal stage,FBcv:0002039,2.15% (2/93),0.87% (103/11801),0.198216218,0.22,1
metathoracic segment,FBbt:00000019,3.23% (3/93),1.67% (197/11801),0.205915411,0.222,1
adult,FBbt:00003004,43.01% (40/93),36.17% (4268/11801),0.193478338,0.236,1
prothoracic leg,FBbt:00004663,2.15% (2/93),0.97% (115/11801),0.232651247,0.236,1
chemosensory system neuron,FBbt:00007696,2.15% (2/93),0.92% (109/11801),0.215366539,0.236,1
trichome,FBbt:00004979,3.23% (3/93),1.77% (209/11801),0.23044624,0.25,1
integumentary system,FBbt:00004969,38.71% (36/93),32.54% (3840/11801),0.221930469,0.261,1
visible,FBcv:0000354,10.75% (10/93),7.45% (879/11801),0.231226674,0.267,1
embryonic segment,FBbt:00000154,2.15% (2/93),1.04% (123/11801),0.255824092,0.29,1
dendritic arborizing neuron,FBbt:00005213,4.3% (4/93),2.44% (288/11801),0.293018911,0.293,1
embryonic/larval peripheral nervous system,FBbt:00005893,8.6% (8/93),6.08% (717/11801),0.277081818,0.294,1
majority die during larval stage,FBcv:0002012,6.45% (6/93),4.02% (474/11801),0.278626857,0.298,1
adult prothoracic segment,FBbt:00003020,2.15% (2/93),1.16% (137/11801),0.296444273,0.31,1
antennal segment,FBbt:00000009,4.3% (4/93),2.51% (296/11801),0.299783348,0.311,1
abdominal neuron,FBbt:00001987,2.15% (2/93),1.17% (138/11801),0.299338969,0.313,1
semi-sterile,FBcv:0000365,6.45% (6/93),4.34% (512/11801),0.301179119,0.334,1
mating behavior defective,FBcv:0000721,2.15% (2/93),1.24% (146/11801),0.322421477,0.343,1
modifier of variegation,FBcv:0000008,2.15% (2/93),1.25% (147/11801),0.325295305,0.355,1
procephalic segment,FBbt:00000007,4.3% (4/93),2.85% (336/11801),0.342020136,0.355,1
fat body,FBbt:00005066,5.38% (5/93),3.65% (431/11801),0.39469025,0.416,1
mating defective,FBcv:0000400,2.15% (2/93),1.49% (176/11801),0.406867453,0.436,1
adult antennal segment,FBbt:00003012,3.23% (3/93),2.25% (266/11801),0.469807304,0.47,1
stress response defective,FBcv:0000408,10.75% (10/93),8.59% (1014/11801),0.455214788,0.479,1
adult procephalic segment,FBbt:00003010,3.23% (3/93),2.25% (266/11801),0.469807304,0.479,1
microchaeta,FBbt:00005182,3.23% (3/93),2.41% (284/11801),0.492330036,0.503,1
embryonic/larval adipose system,FBbt:00001703,4.3% (4/93),3.35% (395/11801),0.555977838,0.574,1
head segment,FBbt:00000006,4.3% (4/93),3.32% (392/11801),0.553884598,0.574,1
testis,FBbt:00004928,2.15% (2/93),3.99% (471/11801),0.589744661,0.599,1
adult head segment,FBbt:00003009,3.23% (3/93),2.64% (311/11801),0.737983746,0.744,1
adult external head,FBbt:00004481,2.15% (2/93),3.22% (380/11801),0.771369384,0.771,1
male reproductive system,FBbt:00004927,3.23% (3/93),4.66% (550/11801),0.802186972,0.802,1
majority die during P-stage,FBcv:0002010,7.53% (7/93),7.41% (875/11801),0.844025858,0.844,1
lethal - all die during larval stage,FBcv:0002007,0.0% (0/93),0.44% (52/11801),1,1,1
thoracic-abdominal pioneer tract,FBbt:00001642,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 2 dorsal acute muscle,FBbt:00000684,0.0% (0/93),0.11% (13/11801),1,1,1
abdominal 2 ventral acute muscle,FBbt:00000688,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 6 dorsal acute muscle,FBbt:00000864,0.0% (0/93),0.11% (13/11801),1,1,1
abdominal 6 ventral acute muscle,FBbt:00000868,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 3 ventral acute muscle,FBbt:00000733,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 3 dorsal acute muscle,FBbt:00000729,0.0% (0/93),0.11% (13/11801),1,1,1
abdominal 5 ventral acute muscle,FBbt:00000823,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 5 dorsal acute muscle,FBbt:00000819,0.0% (0/93),0.11% (13/11801),1,1,1
abdominal 4 dorsal acute muscle,FBbt:00000774,0.0% (0/93),0.11% (13/11801),1,1,1
abdominal 1 dorsal acute muscle,FBbt:00000639,0.0% (0/93),0.06% (7/11801),1,1,1
A1-7 dorsal acute muscle 1,FBbt:00000591,0.0% (0/93),0.08% (10/11801),1,1,1
abdominal 7 dorsal acute muscle,FBbt:00000909,0.0% (0/93),0.11% (13/11801),1,1,1
A1-7 dorsal acute muscle 3,FBbt:00000593,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 1 ventral acute muscle,FBbt:00000643,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 4 ventral acute muscle,FBbt:00000778,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 7 ventral acute muscle,FBbt:00000913,0.0% (0/93),0.06% (7/11801),1,1,1
A1-7 ventral acute muscle 3,FBbt:00000597,0.0% (0/93),0.03% (4/11801),1,1,1
A1-7 ventral acute muscle 1,FBbt:00000595,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 5 lateral transverse muscle,FBbt:00000855,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 3 lateral transverse muscle,FBbt:00000765,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 7 lateral transverse muscle,FBbt:00000945,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 1 lateral transverse muscle,FBbt:00000674,0.0% (0/93),0.03% (4/11801),1,1,1
A1-7 lateral transverse muscle 1,FBbt:00000627,0.0% (0/93),0.03% (4/11801),1,1,1
A1-7 lateral transverse muscle 4,FBbt:00000630,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 6 lateral transverse muscle,FBbt:00000900,0.0% (0/93),0.05% (6/11801),1,1,1
A1-7 lateral transverse muscle 3,FBbt:00000629,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 4 lateral transverse muscle,FBbt:00000810,0.0% (0/93),0.05% (6/11801),1,1,1
A1-7 lateral transverse muscle 2,FBbt:00000628,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 2 lateral transverse muscle,FBbt:00000720,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 2 acute muscle,FBbt:00000683,0.0% (0/93),0.14% (17/11801),1,1,1
abdominal 6 acute muscle,FBbt:00000863,0.0% (0/93),0.14% (16/11801),1,1,1
abdominal 3 acute muscle,FBbt:00000728,0.0% (0/93),0.14% (16/11801),1,1,1
abdominal 5 acute muscle,FBbt:00000818,0.0% (0/93),0.14% (16/11801),1,1,1
A1-7 dorsal acute muscle,FBbt:00000590,1.08% (1/93),0.41% (48/11801),0.319836051,1,1
abdominal 1 acute muscle,FBbt:00000638,0.0% (0/93),0.08% (9/11801),1,1,1
abdominal 4 acute muscle,FBbt:00000773,0.0% (0/93),0.14% (16/11801),1,1,1
abdominal 7 acute muscle,FBbt:00000908,0.0% (0/93),0.14% (16/11801),1,1,1
A1-7 ventral acute muscle,FBbt:00000594,1.08% (1/93),0.18% (21/11801),0.158735186,1,1
A1-7 lateral longitudinal muscle 1,FBbt:00000600,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 ventral longitudinal muscle,FBbt:00000601,0.0% (0/93),0.38% (45/11801),1,1,1
A1-7 ventral oblique muscle,FBbt:00000616,0.0% (0/93),0.11% (13/11801),1,1,1
A1-7 dorsal oblique muscle,FBbt:00000608,0.0% (0/93),0.21% (25/11801),1,1,1
abdominal 2 transverse muscle,FBbt:00000717,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 2 oblique muscle,FBbt:00000692,0.0% (0/93),0.09% (11/11801),1,1,1
abdominal 2 longitudinal muscle,FBbt:00000708,0.0% (0/93),0.1% (12/11801),1,1,1
abdominal 8 longitudinal muscle,FBbt:00000968,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal 8 transverse muscle,FBbt:00000960,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal 8 oblique muscle,FBbt:00000953,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 4 oblique muscle,FBbt:00000782,0.0% (0/93),0.09% (11/11801),1,1,1
abdominal 4 transverse muscle,FBbt:00000807,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 4 longitudinal muscle,FBbt:00000798,0.0% (0/93),0.09% (11/11801),1,1,1
abdominal 1 transverse muscle,FBbt:00000671,1.08% (1/93),0.08% (10/11801),0.082758275,1,1
abdominal 1 longitudinal muscle,FBbt:00000647,0.0% (0/93),0.04% (5/11801),1,1,1
abdominal 1 oblique muscle,FBbt:00000656,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 6 oblique muscle,FBbt:00000872,0.0% (0/93),0.09% (11/11801),1,1,1
abdominal 3 oblique muscle,FBbt:00000737,0.0% (0/93),0.09% (11/11801),1,1,1
A1-7 lateral oblique muscle 1,FBbt:00000615,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 5 oblique muscle,FBbt:00000827,0.0% (0/93),0.09% (11/11801),1,1,1
abdominal 7 oblique muscle,FBbt:00000917,0.0% (0/93),0.09% (11/11801),1,1,1
abdominal 5 transverse muscle,FBbt:00000852,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 dorsal transverse muscle 1,FBbt:00000625,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 3 transverse muscle,FBbt:00000762,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 7 transverse muscle,FBbt:00000942,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 lateral transverse muscle,FBbt:00000626,1.08% (1/93),0.18% (21/11801),0.158735186,1,1
abdominal 6 transverse muscle,FBbt:00000897,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 ventral transverse muscle,FBbt:00000631,0.0% (0/93),0.03% (4/11801),1,1,1
A1-7 segment border muscle,FBbt:00000606,0.0% (0/93),0.04% (5/11801),1,1,1
abdominal 5 longitudinal muscle,FBbt:00000843,0.0% (0/93),0.1% (12/11801),1,1,1
abdominal 6 longitudinal muscle,FBbt:00000888,0.0% (0/93),0.1% (12/11801),1,1,1
abdominal 7 longitudinal muscle,FBbt:00000933,0.0% (0/93),0.1% (12/11801),1,1,1
abdominal 3 longitudinal muscle,FBbt:00000753,0.0% (0/93),0.11% (13/11801),1,1,1
A1-7 dorsal oblique muscle 3,FBbt:00000611,0.0% (0/93),0.03% (3/11801),1,1,1
A1-7 dorsal oblique muscle 4,FBbt:00000612,0.0% (0/93),0.03% (3/11801),1,1,1
A1-7 dorsal oblique muscle 1,FBbt:00000609,0.0% (0/93),0.03% (3/11801),1,1,1
abdominal 4 dorsal oblique muscle,FBbt:00000783,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 6 dorsal oblique muscle,FBbt:00000873,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 dorsal oblique muscle 2,FBbt:00000610,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 1 dorsal oblique muscle,FBbt:00000657,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal 2 dorsal oblique muscle,FBbt:00000693,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 7 dorsal oblique muscle,FBbt:00000918,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 dorsal oblique muscle 5,FBbt:00000613,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 5 dorsal oblique muscle,FBbt:00000828,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 3 dorsal oblique muscle,FBbt:00000738,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 ventral oblique muscle 5,FBbt:00000621,0.0% (0/93),0.03% (3/11801),1,1,1
A1-7 ventral oblique muscle 4,FBbt:00000620,0.0% (0/93),0.03% (3/11801),1,1,1
A1-7 ventral oblique muscle 1,FBbt:00000617,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 3 ventral oblique muscle,FBbt:00000746,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 5 ventral oblique muscle,FBbt:00000836,0.0% (0/93),0.03% (4/11801),1,1,1
A1-7 ventral oblique muscle 2,FBbt:00000618,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 6 ventral oblique muscle,FBbt:00000881,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 1 ventral oblique muscle,FBbt:00000665,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 4 ventral oblique muscle,FBbt:00000791,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 2 ventral oblique muscle,FBbt:00000701,0.0% (0/93),0.03% (4/11801),1,1,1
A1-7 ventral oblique muscle 3,FBbt:00000619,0.0% (0/93),0.01% (1/11801),1,1,1
A2-7 ventral oblique muscle 6,FBbt:00000622,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 7 ventral oblique muscle,FBbt:00000926,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 2 ventral longitudinal muscle,FBbt:00000711,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal 1 ventral longitudinal muscle,FBbt:00000650,0.0% (0/93),0.03% (3/11801),1,1,1
abdominal 5 ventral longitudinal muscle,FBbt:00000846,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 3 ventral longitudinal muscle,FBbt:00000756,0.0% (0/93),0.07% (8/11801),1,1,1
A1-7 ventral longitudinal muscle 2,FBbt:00000603,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal 4 ventral longitudinal muscle,FBbt:00000801,0.0% (0/93),0.06% (7/11801),1,1,1
abdominal 6 ventral longitudinal muscle,FBbt:00000891,0.0% (0/93),0.06% (7/11801),1,1,1
A1-7 ventral longitudinal muscle 1,FBbt:00000602,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal 7 ventral longitudinal muscle,FBbt:00000936,0.0% (0/93),0.06% (7/11801),1,1,1
A1-7 ventral longitudinal muscle 4,FBbt:00000605,0.0% (0/93),0.05% (6/11801),1,1,1
A1-7 ventral longitudinal muscle 3,FBbt:00000604,0.0% (0/93),0.03% (4/11801),1,1,1
larval inner optic anlage,FBbt:00001951,0.0% (0/93),0.01% (1/11801),1,1,1
larval outer optic anlage,FBbt:00001933,0.0% (0/93),0.04% (5/11801),1,1,1
protocerebral embryonic fiber tract founder cluster,FBbt:00001607,0.0% (0/93),0.01% (1/11801),1,1,1
maxillary apodeme,FBbt:00003517,0.0% (0/93),0.01% (1/11801),1,1,1
lamina anlage,FBbt:00001939,0.0% (0/93),0.11% (13/11801),1,1,1
pit sensillum of distal group,FBbt:00002700,0.0% (0/93),0.01% (1/11801),1,1,1
photoreceptor cell of Bolwig organ,FBbt:00007253,0.0% (0/93),0.02% (2/11801),1,1,1
larval optic anlage,FBbt:00007676,0.0% (0/93),0.31% (37/11801),1,1,1
calyx of larval mushroom body,FBbt:00007191,0.0% (0/93),0.01% (1/11801),1,1,1
lobe system of larval mushroom body,FBbt:00110641,0.0% (0/93),0.04% (5/11801),1,1,1
distal group terminal organ sensillum,FBbt:00002691,0.0% (0/93),0.01% (1/11801),1,1,1
dorso-lateral group terminal organ sensillum,FBbt:00002706,0.0% (0/93),0.03% (4/11801),1,1,1
narrow field transmedullary neuron,FBbt:00013789,0.0% (0/93),0.01% (1/11801),1,1,1
wide field transmedullary neuron,FBbt:00013788,0.0% (0/93),0.03% (3/11801),1,1,1
lamina monopolar neuron,FBbt:00003718,0.0% (0/93),0.1% (12/11801),1,1,1
medullary intrinsic neuron,FBbt:00003775,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
transmedullary neuron,FBbt:00003788,0.0% (0/93),0.04% (5/11801),1,1,1
T neuron,FBbt:00003726,0.0% (0/93),0.02% (2/11801),1,1,1
distal medullary amacrine neuron,FBbt:00003767,0.0% (0/93),0.1% (12/11801),1,1,1
outer medulla,FBbt:00003749,0.0% (0/93),0.05% (6/11801),1,1,1
photoreceptor cell R2,FBbt:00004215,0.0% (0/93),0.14% (16/11801),1,1,1
photoreceptor cell R4,FBbt:00004219,0.0% (0/93),0.13% (15/11801),1,1,1
photoreceptor cell R6,FBbt:00004223,0.0% (0/93),0.12% (14/11801),1,1,1
photoreceptor cell R5,FBbt:00004221,0.0% (0/93),0.14% (16/11801),1,1,1
photoreceptor cell R3,FBbt:00004217,0.0% (0/93),0.14% (17/11801),1,1,1
photoreceptor cell R1,FBbt:00004213,0.0% (0/93),0.12% (14/11801),1,1,1
photoreceptor cell R8,FBbt:00004227,0.0% (0/93),0.18% (21/11801),1,1,1
photoreceptor cell R7,FBbt:00004225,0.0% (0/93),0.17% (20/11801),1,1,1
ocellus,FBbt:00004505,0.0% (0/93),0.19% (22/11801),1,1,1
chamber I of sacculus,FBbt:00110024,0.0% (0/93),0.01% (1/11801),1,1,1
sensillum of sacculus,FBbt:00110027,0.0% (0/93),0.01% (1/11801),1,1,1
sensillum coeloconicum of antennal segment 3,FBbt:00004177,0.0% (0/93),0.01% (1/11801),1,1,1
sensillum trichodeum of antennal segment 3,FBbt:00004173,0.0% (0/93),0.03% (3/11801),1,1,1
sensillum intermedia of antennal segment 3,FBbt:00007359,0.0% (0/93),0.03% (3/11801),1,1,1
sensillum basiconicum of antennal segment 3,FBbt:00004174,0.0% (0/93),0.03% (4/11801),1,1,1
sacculus,FBbt:00004179,0.0% (0/93),0.01% (1/11801),1,1,1
antennal basiconic sensillum TB,FBbt:00007419,0.0% (0/93),0.01% (1/11801),1,1,1
small sensillum basiconicum of antennal segment 3,FBbt:00004176,0.0% (0/93),0.01% (1/11801),1,1,1
large sensillum basiconicum of antennal segment 3,FBbt:00004175,0.0% (0/93),0.02% (2/11801),1,1,1
antennal basiconic sensillum TB-2,FBbt:00007420,0.0% (0/93),0.01% (1/11801),1,1,1
labellar cap,FBbt:00004533,0.0% (0/93),0.2% (24/11801),1,1,1
labellum sensillum,FBbt:00004161,0.0% (0/93),0.23% (27/11801),1,1,1
labellar taste bristle,FBbt:00004162,0.0% (0/93),0.2% (24/11801),1,1,1
gustatory receptor neuron of the labellum,FBbt:00110887,0.0% (0/93),0.02% (2/11801),1,1,1
maxillary palp sense organ,FBbt:00004158,0.0% (0/93),0.06% (7/11801),1,1,1
antennal lobe glomerulus DP1,FBbt:00003977,0.0% (0/93),0.02% (2/11801),1,1,1
antennal lobe glomerulus VL2,FBbt:00003955,0.0% (0/93),0.02% (2/11801),1,1,1
antennal lobe glomerulus DA4,FBbt:00003935,0.0% (0/93),0.02% (2/11801),1,1,1
antennal lobe glomerulus VM5,FBbt:00003949,0.0% (0/93),0.01% (1/11801),1,1,1
antennal lobe glomerulus VA1,FBbt:00003936,0.0% (0/93),0.08% (9/11801),1,1,1
antennal lobe glomerulus VA7,FBbt:00003945,0.0% (0/93),0.01% (1/11801),1,1,1
fan-shaped body,FBbt:00003679,0.0% (0/93),0.02% (2/11801),1,1,1
optic cartridge,FBbt:00003747,0.0% (0/93),0.02% (2/11801),1,1,1
lamina tangential neuron,FBbt:00003745,0.0% (0/93),0.02% (2/11801),1,1,1
intrinsic columnar neuron,FBbt:00007578,1.08% (1/93),0.28% (33/11801),0.234530209,1,1
amacrine neuron,FBbt:00005127,0.0% (0/93),0.1% (12/11801),1,1,1
plexiform medulla,FBbt:00045001,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
inner medulla,FBbt:00003757,0.0% (0/93),0.02% (2/11801),1,1,1
vertical lobe of adult mushroom body,FBbt:00015407,1.08% (1/93),0.34% (40/11801),0.275581676,1,1
medial lobe of adult mushroom body,FBbt:00007677,1.08% (1/93),0.53% (63/11801),0.395726033,1,1
gamma Kenyon cell,FBbt:00100247,0.0% (0/93),0.02% (2/11801),1,1,1
arista lateral,FBbt:00005913,0.0% (0/93),0.01% (1/11801),1,1,1
antennal segment 2 sense organ,FBbt:00005377,0.0% (0/93),0.21% (25/11801),1,1,1
antennal segment 3 sensillum,FBbt:00004172,1.08% (1/93),0.19% (22/11801),0.165325283,1,1
maxillary palp olfactory receptor neuron,FBbt:00007353,0.0% (0/93),0.08% (9/11801),1,1,1
local interneuron of adult antennal lobe,FBbt:00007390,0.0% (0/93),0.01% (1/11801),1,1,1
basal cylinder,FBbt:00004518,0.0% (0/93),0.06% (7/11801),1,1,1
arista,FBbt:00004519,0.0% (0/93),0.06% (7/11801),1,1,1
second segment of antenna,FBbt:00004514,0.0% (0/93),0.21% (25/11801),1,1,1
third segment of antenna,FBbt:00004515,1.08% (1/93),0.21% (25/11801),0.184790697,1,1
central body,FBbt:00045020,0.0% (0/93),0.26% (31/11801),1,1,1
horizontal fiber system neuron,FBbt:00003635,0.0% (0/93),0.02% (2/11801),1,1,1
lamina,FBbt:00003708,0.0% (0/93),0.43% (51/11801),1,1,1
optic chiasma,FBbt:00003921,0.0% (0/93),0.01% (1/11801),1,1,1
adult optic lobe glial cell,FBbt:00100517,0.0% (0/93),0.17% (20/11801),1,1,1
optic lobe intrinsic neuron,FBbt:00007577,1.08% (1/93),0.36% (43/11801),0.292501261,1,1
lobula complex,FBbt:00045004,0.0% (0/93),0.18% (21/11801),1,1,1
medulla,FBbt:00003748,1.08% (1/93),0.11% (13/11801),0.104127797,1,1
lobula plate giant neuron,FBbt:00003906,0.0% (0/93),0.02% (2/11801),1,1,1
lobe system of adult mushroom body,FBbt:00013688,1.08% (1/93),0.69% (82/11801),0.47993344,1,1
Kenyon cell,FBbt:00003686,0.0% (0/93),0.47% (56/11801),1,1,1
ventral posterior protocerebral neuroblast,FBbt:00005921,0.0% (0/93),0.01% (1/11801),1,1,1
ventral central protocerebral neuroblast,FBbt:00005877,0.0% (0/93),0.01% (1/11801),1,1,1
ventral anterior protocerebral neuroblast,FBbt:00005875,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal anterior protocerebral neuroblast,FBbt:00005874,0.0% (0/93),0.01% (1/11801),1,1,1
clasper,FBbt:00004843,0.0% (0/93),0.02% (2/11801),1,1,1
genital arch,FBbt:00004839,0.0% (0/93),0.13% (15/11801),1,1,1
aedeagus,FBbt:00004850,0.0% (0/93),0.1% (12/11801),1,1,1
lateral plate,FBbt:00004842,0.0% (0/93),0.12% (14/11801),1,1,1
prothoracic leg taste bristle chemosensory neuron,FBbt:00100136,0.0% (0/93),0.01% (1/11801),1,1,1
